t = 0.02 , x = 0, u = 7.10543e-17
t = 0.02 , x = 0.05, u = 7.54952e-17
t = 0.02 , x = 0.1, u = 8.88178e-18
t = 0.02 , x = 0.15, u = 5.32907e-17
t = 0.02 , x = 0.2, u = 5.32907e-17
t = 0.02 , x = 0.25, u = 3.55271e-17
t = 0.02 , x = 0.3, u = 7.10543e-17
t = 0.02 , x = 0.35, u = 1.06581e-16
t = 0.02 , x = 0.4, u = 7.63833e-16
t = 0.02 , x = 0.45, u = 3.83693e-15
t = 0.02 , x = 0.5, u = 1.89893e-14
t = 0.02 , x = 0.55, u = 9.02389e-14
t = 0.02 , x = 0.6, u = 4.11351e-13
t = 0.02 , x = 0.65, u = 1.79853e-12
t = 0.02 , x = 0.7, u = 7.54708e-12
t = 0.02 , x = 0.75, u = 3.03965e-11
t = 0.02 , x = 0.8, u = 1.17521e-10
t = 0.02 , x = 0.85, u = 4.36225e-10
t = 0.02 , x = 0.9, u = 1.55477e-09
t = 0.02 , x = 0.95, u = 5.32151e-09
t = 0.02 , x = 1, u = 1.74933e-08
t = 0.02 , x = 1.05, u = 5.52367e-08
t = 0.02 , x = 1.1, u = 1.67553e-07
t = 0.02 , x = 1.15, u = 4.88312e-07
t = 0.02 , x = 1.2, u = 1.36744e-06
t = 0.02 , x = 1.25, u = 3.67983e-06
t = 0.02 , x = 1.3, u = 9.51707e-06
t = 0.02 , x = 1.35, u = 2.36579e-05
t = 0.02 , x = 1.4, u = 5.65309e-05
t = 0.02 , x = 1.45, u = 0.000129859
t = 0.02 , x = 1.5, u = 0.000286794
t = 0.02 , x = 1.55, u = 0.000608998
t = 0.02 , x = 1.6, u = 0.00124349
t = 0.02 , x = 1.65, u = 0.00244163
t = 0.02 , x = 1.7, u = 0.0046106
t = 0.02 , x = 1.75, u = 0.00837347
t = 0.02 , x = 1.8, u = 0.0146268
t = 0.02 , x = 1.85, u = 0.0245763
t = 0.02 , x = 1.9, u = 0.039722
t = 0.02 , x = 1.95, u = 0.0617618
t = 0.02 , x = 2, u = 0.0923866
t = 0.02 , x = 2.05, u = 0.132961
t = 0.02 , x = 2.1, u = 0.184117
t = 0.02 , x = 2.15, u = 0.245325
t = 0.02 , x = 2.2, u = 0.314558
t = 0.02 , x = 2.25, u = 0.388145
t = 0.02 , x = 2.3, u = 0.460944
t = 0.02 , x = 2.35, u = 0.526848
t = 0.02 , x = 2.4, u = 0.579597
t = 0.02 , x = 2.45, u = 0.61374
t = 0.02 , x = 2.5, u = 0.625561
t = 0.02 , x = 2.55, u = 0.61374
t = 0.02 , x = 2.6, u = 0.579597
t = 0.02 , x = 2.65, u = 0.526848
t = 0.02 , x = 2.7, u = 0.460944
t = 0.02 , x = 2.75, u = 0.388145
t = 0.02 , x = 2.8, u = 0.314558
t = 0.02 , x = 2.85, u = 0.245325
t = 0.02 , x = 2.9, u = 0.184117
t = 0.02 , x = 2.95, u = 0.132961
t = 0.02 , x = 3, u = 0.0923866
t = 0.02 , x = 3.05, u = 0.0617618
t = 0.02 , x = 3.1, u = 0.039722
t = 0.02 , x = 3.15, u = 0.0245763
t = 0.02 , x = 3.2, u = 0.0146268
t = 0.02 , x = 3.25, u = 0.00837347
t = 0.02 , x = 3.3, u = 0.0046106
t = 0.02 , x = 3.35, u = 0.00244163
t = 0.02 , x = 3.4, u = 0.00124349
t = 0.02 , x = 3.45, u = 0.000608998
t = 0.02 , x = 3.5, u = 0.000286794
t = 0.02 , x = 3.55, u = 0.000129859
